Symbol                    BaseName   Name       Type     Volume
NIGGO/USDC                NIGGO      @101       spot     2,980.72
SOLV/USDC                 SOLV       @136       spot     2,882.41
RUB/USDC                  RUB        @173       spot     2,629.59
ATEHUN/USDC               ATEHUN     @51        spot     2,510.60
HAPPY/USDC                HAPPY      @22        spot     2,411.73
HWTR/USDC                 HWTR       @140       spot     1,744.03
SCHIZO/USDC               SCHIZO     @23        spot     1,725.06
ISLAND/USDC               ISLAND     @185       spot     1,375.81
PENIS/USDC                PENIS      @165       spot     1,294.39
TIME/USDC                 TIME       @138       spot     1,190.86
OTTI/USDC                 OTTI       @179       spot     1,058.39
OMNIX/USDC                OMNIX      @74        spot     802.28
H/USDC                    H          @133       spot     566.99
TREND/USDC                TREND      @159       spot     510.88
RAT/USDC                  RAT        @157       spot     487.26
COOK/USDC                 COOK       @172       spot     440.08
LICK/USDC                 LICK       @2         spot     372.27
GENESY/USDC               GENESY     @118       spot     340.40
PERP/USDC                 PERP       @176       spot     340.16
DEPIN/USDC                DEPIN      @128       spot     321.80
SUCKY/USDC                SUCKY      @28        spot     298.76
CZ/USDC                   CZ         @16        spot     273.18
SYLVI/USDC                SYLVI      @89        spot     255.13
HODL/USDC                 HODL       @34        spot     239.85
LICKO/USDC                LICKO      @187       spot     222.80
CHINA/USDC                CHINA      @68        spot     163.48
RANK/USDC                 RANK       @73        spot     132.71
LAUNCH/USDC               LAUNCH     @122       spot     132.54
PIGEON/USDC               PIGEON     @65        spot     122.46
CAT/USDC                  CAT        @126       spot     118.39
PUMP/USDC                 PUMP       @20        spot     117.45
AUTIST/USDC               AUTIST     @94        spot     113.67
HOPE/USDC                 HOPE       @81        spot     107.49
VAPOR/USDC                VAPOR      @37        spot     107.36
MONAD/USDC                MONAD      @80        spot     106.49
RETARD/USDC               RETARD     @111       spot     105.04
RUG/USDC                  RUG        @13        spot     100.90
STLOOP/USDC               STLOOP     @190       spot     100.56
BID/USDC                  BID        @33        spot     98.80
NASDAQ/USDC               NASDAQ     @87        spot     94.38
SPH/USDC                  SPH        @78        spot     90.07
NMTD/USDC                 NMTD       @63        spot     88.70
LADY/USDC                 LADY       @42        spot     80.91
PURRPS/USDC               PURRPS     @32        spot     62.12
MEOW/USDC                 MEOW       @112       spot     61.12
USR/USDC                  USR        @178       spot     59.54
ANZ/USDC                  ANZ        @192       spot     42.30
UP/USDC                   UP         @100       spot     31.02
HPUMP/USDC                HPUMP      @64        spot     29.65
FARMED/USDC               FARMED     @30        spot     29.04
HGOD/USDC                 HGOD       @96        spot     28.34
HEAD/USDC                 HEAD       @143       spot     28.25
FRIED/USDC                FRIED      @70        spot     26.72
SELL/USDC                 SELL       @24        spot     24.30
SHREK/USDC                SHREK      @84        spot     22.97
PEPE/USDC                 PEPE       @11        spot     22.54
XULIAN/USDC               XULIAN     @12        spot     20.50
CHEF/USDC                 CHEF       @108       spot     19.93
PEAR/USDC                 PEAR       @114       spot     18.43
HYENA/USDC                HYENA      @127       spot     17.91
NOCEX/USDC                NOCEX      @72        spot     14.06
PURRO/USDC                PURRO      @177       spot     11.61
VORTX/USDC                VORTX      @145       spot     11.28
MOG/USDC                  MOG        @43        spot     10.48
YEETI/USDC                YEETI      @88        spot     10.45
HBOOST/USDC               HBOOST     @27        spot     8.97
LORA/USDC                 LORA       @58        spot     3.37
BOZO/USDC                 BOZO       @77        spot     1.98
GUP/USDC                  GUP        @29        spot     1.47
TRUMP/USDC                TRUMP      @9         spot     0.54
